ticker,date,quarter,sentiment_score,return_t1
AAPL,"Apr 30, 2020, 5:00 p.m. ET",2020-Q2,0.3621,-0.01609916572327008
META,"Jan 27, 2021, 5:00 p.m. ET",2020-Q4,0.0833,-0.02623652132086085
AMZN,"Oct 27, 2022, 5:30 p.m. ET",2022-Q3,0.1848,-0.06804249715805744
DIS,"Aug 04, 2020, 4:30 p.m. ET",2020-Q3,0.0776,0.08798693451879624
DIS,"May 13, 2021, 4:30 p.m. ET",2021-Q2,0.3217,-0.02601774409604385
TSLA,"Apr 26, 2021, 5:30 p.m. ET",2021-Q1,0.1879,-0.04532647907368281
INTC,"Jan 21, 2021, 5:00 p.m. ET",2020-Q4,0.5173,-0.09285950594345882
AAPL,"Apr 30, 2020, 5:00 p.m. ET",2020-Q2,0.3621,-0.01609916572327008
TSLA,"Apr 29, 2020, 6:30 p.m. ET",2020-Q1,0.2432,-0.023272674923369818
BAC,"Apr 15, 2021, 9:00 a.m. ET",2021-Q1,0.3772,0.010583518938881875
GOOGL,"Jul 27, 2021, 4:30 p.m. ET",2021-Q2,0.3963,0.03179670933381851
AAPL,"Apr 30, 2020, 5:00 p.m. ET",2020-Q2,0.3621,-0.01609916572327008
TSLA,"Jul 22, 2020, 6:00 p.m. ET",2020-Q2,0.1745,-0.04977615338574293
BAC,"Oct 14, 2021, 9:00 a.m. ET",2021-Q3,0.4176,0.0288440935631209
TSLA,"Apr 29, 2020, 6:30 p.m. ET",2020-Q1,0.2432,-0.023272674923369818
NVDA,"Nov 16, 2022, 5:00 p.m. ET",2023-Q3,0.2016,-0.01464492278852958
TSLA,"Jul 22, 2020, 6:00 p.m. ET",2020-Q2,0.1745,-0.04977615338574293
AAPL,"Jul 28, 2022, 5:00 p.m. ET",2022-Q3,0.3725,0.03279294208211425
DIS,"Feb 11, 2021, 4:30 p.m. ET",2021-Q1,0.2205,-0.01697132412258595
DIS,"Aug 04, 2020, 4:30 p.m. ET",2020-Q3,0.0776,0.08798693451879624
TSLA,"Jul 22, 2020, 6:00 p.m. ET",2020-Q2,0.1745,-0.04977615338574293
AMZN,"Jul 30, 2020, 5:30 p.m. ET",2020-Q2,0.3149,0.036960821567137314
TSLA,"Jul 26, 2021, 5:30 p.m. ET",2021-Q2,0.2044,-0.01952494819687245
AMZN,"Apr 28, 2022, 5:30 p.m. ET",2022-Q1,0.1216,-0.140494377749234
AAPL,"Jan 28, 2020, 5:00 p.m. ET",2020-Q1,0.4386,0.02093245069829841
TSLA,"Jul 22, 2020, 6:00 p.m. ET",2020-Q2,0.1745,-0.04977615338574293
AMZN,"Feb 02, 2021, 5:30 p.m. ET",2020-Q4,0.3282,-0.019961565909300982
INTC,"Jul 28, 2022, 5:00 p.m. ET",2022-Q2,0.3485,-0.08562061460295212
HD,"May 18, 2021, 9:00 a.m. ET",2021-Q1,0.4104,-0.007261200501934684
GOOGL,"April 28, 2020, 4:30 p.m. ET",2020-Q1,0.1974,0.08891031731088295
DIS,"Aug 04, 2020, 4:30 p.m. ET",2020-Q3,0.0776,0.08798693451879624
BAC,"Jul 14, 2021, 9:00 a.m. ET",2021-Q2,0.2932,-0.0007723108939324819
GOOGL,"Jul 27, 2021, 4:30 p.m. ET",2021-Q2,0.3963,0.03179670933381851
GOOGL,"Apr 27, 2021, 5:00 p.m. ET",2021-Q1,0.4468,0.02970775885960819
JNJ,"Apr 20, 2021, 8:30 a.m. ET",2021-Q1,0.4586,0.000660620286457414
AAPL,"Apr 30, 2020, 5:00 p.m. ET",2020-Q2,0.3621,-0.01609916572327008
INTC,"Oct 22, 2020, 5:00 p.m. ET",2020-Q3,0.3076,-0.10575145466801206
GOOGL,"Jul 27, 2021, 4:30 p.m. ET",2021-Q2,0.3963,0.03179670933381851
AAPL,"Jul 30, 2020, 5:00 p.m. ET",2020-Q3,0.4854,0.10468878343415744
GOOGL,"April 29, 2019, 4:30 p.m. ET",2019-Q1,0.3309,-0.07501915101252887
NFLX,"Apr 19, 2022, 6:00 p.m. ET",2022-Q1,0.1069,-0.35116607551133094
UNH,"Jan 20, 2021, 8:45 a.m. ET",2020-Q4,0.496,0.011857229360644261
GOOGL,"Feb 2, 2021, 5:00 p.m. ET",2020-Q4,0.4164,0.07282529444137809
TSLA,"Jan 27, 2021, 6:30 p.m. ET",2020-Q4,0.2739,-0.033246240146660666
AAPL,"Jan 28, 2020, 5:00 p.m. ET",2020-Q1,0.4386,0.02093245069829841
DIS,"Aug 04, 2020, 4:30 p.m. ET",2020-Q3,0.0776,0.08798693451879624
GOOGL,"Feb 2, 2021, 5:00 p.m. ET",2020-Q4,0.4164,0.07282529444137809
NFLX,"Jan 19, 2021, 6:00 p.m. ET",2020-Q4,0.0748,0.16854337736766944
DIS,"Aug 04, 2020, 4:30 p.m. ET",2020-Q3,0.0776,0.08798693451879624
UNH,"Apr 14, 2022, 8:45 a.m. ET",2022-Q1,0.3972,-0.0013837928954174572
AMZN,"Apr 29, 2021, 5:30 p.m. ET",2021-Q1,0.3316,-0.001120636171800582
